"chan1","chan2","chan3","chan4"
0.60313,-0.03341,1,0.5
0.74297,-0.02222,1,1
0.54057,-0.02076,0.96882,0
1,0.13807,0.78377,1
0.28552,0.06732,0,0
0.64767,0.11439,1,0.54316
0.14797,-0.00295,0.37449,0
0.45912,-0.01591,0,0.24573
0.47255,-0.02507,0,0.25634
0.523,-0.01768,0,0.29618
0.53802,-0.00551,0,0.30804
0.42569,-0.02955,0,0.21933
0.54118,-0.01614,0,0.31054
0.77728,0.0778,0.00736,0.6813
1,0.27907,0.50214,1
0.61137,0.32466,0,0.85091
0.48521,0.31872,0.04304,0.76567
0.17474,0.18318,0.02373,0.34117
0.45483,0.16523,0.18546,0.47509
1,0.55692,0,1
0.47651,0.5382,0.20933,0.77024
0.50394,0.54129,0.21435,0.78478
0.56683,0.59341,0.21447,0.8717
0.6178,0.68782,0.19437,1
0.4911,0.68101,0.12915,0.94191
0.48754,0.67121,0.12658,0.9289
0.51597,0.6831,0.12054,0.95421
0.49563,0.67965,0.1216,0.94209
0.50498,0.68364,0.11626,0.95051
0.66178,0.81064,0.11438,1
0.61362,0.90125,0.23984,1
0.3597,0.79271,0.45032,0.81715
0.50158,0.79394,0.35517,0.86307
0.53001,0.81795,0.35462,0.89477
0.43997,0.77152,0.41462,0.82241
0.52211,0.78893,0.41566,0.86481
0.5442,0.82313,0.76379,0.90415
