"chan1","chan2","chan3"
0.50013,0.48421,0.5
0.6859,1,0
0.39887,0,1
0.48275,0.49302,0.8662
0.44192,0.06214,0.8968
0.40896,1,0.82368
0.52102,0.44023,0.91419
0.58243,0.5538,0.50484
0.35755,0.93991,0
0.23433,0,0.82167
1,1,0.53745
0.59663,0.42584,0.25842
0.43514,0.20776,0.7989
0.66677,0.53504,0.99516
0.38364,0.55214,0.79374
0.71669,0.43785,0.68629
0.40659,0.51232,1
0.46888,0.49359,0.8787
0.49976,0.60413,0.93761
0.75862,0.36491,0.98841
0.48268,0.47424,1
0.52082,0.57979,0.49207
0.51238,0.53439,1
0.46237,0.43352,0.60198
0.50442,0.4541,0.24113
0.46125,0.4599,0.95649
0.48096,0.49959,0.81617
0.20201,0.59166,0.55748
0.43301,0.43131,0.85615
0.35103,0.68728,0.41444
0.55281,0.28546,0.87248
0.59624,0.20462,0.61189
0.59624,0.20462,0.69882
0.46934,0.38546,0.74633
0.52653,0.35212,0.98366
0.52746,0.48026,1
0,0,1
0.50023,0.49923,0.99549
